YEAR,QUARTER,CATEGORY_TYPE,CATEGORY_NAME,AMOUNT_AT_CURRENT,PERCENT_SHARE_AT_CURRENT,AMOUNT_AT_CONSTANT,GROWTH_RATE_AT_CONSTANT,DATE_SUBMITTED,TIME_SUBMITTED
2011,Q4,sevices,Transport & Storage,"79,244.64",8.2,"62,683.33",4.8,27/01/2020,3:03 PM
2011,Q4,sevices,Information & Communication,"17,135.34",1.8,"31,031.91",40.4,27/01/2020,3:03 PM
2011,Q4,sevices,Financial & Insurance,"60,384.91",6.3,"46,456.36",0.3,27/01/2020,3:03 PM
2011,Q4,sevices,Public administration,"43,323.17",4.5,"33,149.86",1.2,27/01/2020,3:03 PM
2011,Q4,sevices,"Professional, Administration & Support Services","23,746.87",2.5,"21,332.86",3,27/01/2020,3:03 PM
2011,Q4,sevices,Real estate,"78,844.11",8.2,"69,106.68",4.8,27/01/2020,3:03 PM
2011,Q4,sevices,Education,"49,548.30",5.1,"52,976.69",7.4,27/01/2020,3:03 PM
2011,Q4,sevices,Health,"16,862.66",1.7,"14,817.88",-14.4,27/01/2020,3:03 PM
2011,Q4,sevices,Other services,"12,725.17",1.3,"11,333.24",1.5,27/01/2020,3:03 PM
2011,Q4,sevices,FISIM,"-26,918.46",-2.8,"-19,407.81",13.4,27/01/2020,3:03 PM
2011,Q4,,All industries at basic prices,"863,957.95",89.6,"724,855.54",4.1,27/01/2020,3:03 PM
2011,Q4,,Taxes on products,"100,107.08",10.4,"98,892.63",6.2,27/01/2020,3:03 PM
